id,type,category,front,reading,meaning_ko,meaning_en,example,example_reading,example_ko,level,tags,source,added_by,last_review,interval,ease,tier,order_in_cat
kana_0001,kana,hiragana,あ,あ,아,a,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,1
kana_0002,kana,hiragana,い,い,이,i,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,2
kana_0003,kana,hiragana,う,う,우,u,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,3
kana_0004,kana,hiragana,え,え,에,e,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,4
kana_0005,kana,hiragana,お,お,오,o,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,5
kana_0006,kana,hiragana,か,か,카,ka,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,6
kana_0007,kana,hiragana,き,き,키,ki,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,7
kana_0008,kana,hiragana,く,く,쿠,ku,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,8
kana_0009,kana,hiragana,け,け,케,ke,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,9
kana_0010,kana,hiragana,こ,こ,코,ko,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,10
kana_0011,kana,hiragana,さ,さ,사,sa,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,11
kana_0012,kana,hiragana,し,し,시,shi,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,12
kana_0013,kana,hiragana,す,す,스,su,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,13
kana_0014,kana,hiragana,せ,せ,세,se,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,14
kana_0015,kana,hiragana,そ,そ,소,so,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,15
kana_0016,kana,hiragana,た,た,타,ta,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,16
kana_0017,kana,hiragana,ち,ち,치,chi,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,17
kana_0018,kana,hiragana,つ,つ,츠,tsu,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,18
kana_0019,kana,hiragana,て,て,테,te,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,19
kana_0020,kana,hiragana,と,と,토,to,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,20
kana_0021,kana,hiragana,な,な,나,na,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,21
kana_0022,kana,hiragana,に,に,니,ni,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,22
kana_0023,kana,hiragana,ぬ,ぬ,누,nu,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,23
kana_0024,kana,hiragana,ね,ね,네,ne,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,24
kana_0025,kana,hiragana,の,の,노,no,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,25
kana_0026,kana,hiragana,は,は,하,ha,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,26
kana_0027,kana,hiragana,ひ,ひ,히,hi,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,27
kana_0028,kana,hiragana,ふ,ふ,후,fu,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,28
kana_0029,kana,hiragana,へ,へ,헤,he,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,29
kana_0030,kana,hiragana,ほ,ほ,호,ho,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,30
kana_0031,kana,hiragana,ま,ま,마,ma,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,31
kana_0032,kana,hiragana,み,み,미,mi,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,32
kana_0033,kana,hiragana,む,む,무,mu,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,33
kana_0034,kana,hiragana,め,め,메,me,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,34
kana_0035,kana,hiragana,も,も,모,mo,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,35
kana_0036,kana,hiragana,や,や,야,ya,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,36
kana_0037,kana,hiragana,ゆ,ゆ,유,yu,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,37
kana_0038,kana,hiragana,よ,よ,요,yo,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,38
kana_0039,kana,hiragana,ら,ら,라,ra,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,39
kana_0040,kana,hiragana,り,り,리,ri,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,40
kana_0041,kana,hiragana,る,る,루,ru,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,41
kana_0042,kana,hiragana,れ,れ,레,re,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,42
kana_0043,kana,hiragana,ろ,ろ,로,ro,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,43
kana_0044,kana,hiragana,わ,わ,와,wa,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,44
kana_0045,kana,hiragana,を,を,오,o,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,45
kana_0046,kana,hiragana,ん,ん,응(ㄴ),n,,,,基礎,"清音,ひらがな",기본제공,system,,,,free,46
kata_0001,kana,katakana,ア,ア,아,a,,,,基礎,"清音,カタカナ",기본제공,system,,,,free,1
